iter	Passed	Remaining
0	218	68828
1	303	47607
2	360	37631
3	516	40256
4	564	35107
5	607	31390
6	686	30309
7	780	30053
8	841	28688
9	949	29046
10	1061	29422
11	1171	29686
12	1282	29901
13	1375	29662
14	1452	29151
15	1495	28039
16	1565	27538
17	1652	27365
18	1751	27381919	1848	27357
20	1899	26672121	2004	26783
22	2083	26542323	2142	26062424	2251	26212525	2308	25752626	2360	25269
27	2404	24731
28	2440	24152929	2489	23737
30	2546	23415
31	2592	23008
32	2635	22604
33	2692	22331
34	2727	21894
35	2767	21525
36	2804	21143737	2835	20743838	2870	20383939	2914	20104040	2966	19894
41	3003	19593
42	3048	19355
43	3092	19114444	3139	18904545	3178	18654646	3214	18394747	3245	18124848	3283	17884949	3317	17655050	3360	17465151	3401	17265252	3443	17085353	3484	169054	3533	16766
5555	3590	16665656	3632	16505757	3674	16345858	3715	16185959	3761	16056060	3810	15926161	3868	15846262	3913	157163	3961	15600
64	4010	15487
6565	4063	15396666	4111	152767	4163	15185
68	4220	15107
69	4272	15014
70	4316	14894
71	4370	14812
7272	4423	147273	4469	14617
74	4534	14570
75	4588	14488
76	4629	14368
7777	4681	14287878	4743	14237979	4798	141580	4850	14072
81	4902	13991
82	4957	13916
8383	5012	138484	5055	13738
85	5110	13668
86	5169	13607
87	5215	13512
88	5264	13427
8989	5319	13359090	5383	13319191	5442	13259292	5499	13189393	5560	13139494	5622	13078
95	5683	13023
96	5739	12959
97	5794	12888
98	5848	12820
99	5906	12757
100	5959	12686
101	6006	12602
102	6066	12545
103	6138	12513
104	6199	1105	6105	6262	12406
106	6320	1107	6107	6380	1108	6108	6436	1109	6109	6491	1110	6110	6559	1111	6111	6605	1112	6112	6657	1113	6113	6705	1114	6746	11791
115	6803	11730
116	6863	11674
117	6933	11633
118	6994	11578
119	7054	11522
120	7117	11470
121	7180	11418
122	7237	11355
123	7292	11291
124	7344	11222
125	7394	11149
126	7450	11087
127	7493	11006
128	7542	10933
129	7129	7613	1130	7130	7687	1131	7131	7762	1132	7132	7824	10765
133	7885	10709
134	7940	10646
135	8000	10588
136	8066	10539
137	8129	10486
138	8188	10426
139	8238	10357
140	8292	10292
141	8334	10212
142	8378	10136
143	8429	10069
144	8492	10015
145	8552	9958
146	8614	9903
147	8674	9846
148	873149	873149	8802	9741
150	885151	885151	890152	891152	897153	898153	903154	905154	909155	913155	916156	918156	922157	924157	929158	929158	935159	934159	9421	9185
160	9476	9123
161	9536	9065
162	9607	9018
163	9670	8962
164	9729	8903
165	9782	8839
166	9840	8779
167	9908	8728
168	9972	8674
169	10044	8626
170	10104	8567
171	10164	8509
172	10231	8457
173	102174	1028174	10348	8338
175	10399	8272
176	104177	1043177	10499	8140
178	105179	1055179	106180	1062180	106181	1069181	107182	1075182	107183	1081183	108184	1087184	109185	1094185	109186	1100186	110187	1105187	110188	1111188	111189	1116189	112190	1121190	112191	1127191	11340	7324
192	11405	7268
193	11457	7205
194	11498	7134
195	11547	7070
196	115197	1160197	116198	1167198	117199	1173199	117200	1179200	118201	1185201	119202	1192202	119203	1198203	12042	6611
204	12097	6550
205	12166	6496
206	12229	6439
207	12286	6379
208	12347	6321
209	12410	6264
210	12478	6209
211	12541	6152
212	12604	6095
213	12674	6041
214	12735	5982
215	12802	5927
216	12856	5865
217	12911	5804
218	12975	5747
219	13031	5686
220	13085	5624
221	13127	5558
222	13179	5496
223	13244	5439
224	13305	5381
225	13357	5319
226	13421	5262
227	13478	5202
228	13542	5144
229	13595	5083
230	13647	5021
231	13695	4958
232	13758	4901
233	13820	4843
234	13887	4786
235	13944	4727
236	14003	4667
237	14063	4608
238	14113	4546
239	14165	4485
240	14220	4425
241	14268	4363
242	14318	4301
243	14374	4241
244	14442	4185
245	14501	4126
246	14562	4068
247	14623	4009
248	14691	3953
249	14755	3895
250	14817	3837
251	14884	3780
252	14947	3721
253	15004	3662
254	15066	3604
255	15124	3544
256	15189	3486
257	15239	3425
258	15306	3368
259	15363	3309
260	15421	3249
261	15483	3191
262	15545	3132
263	15605	3073
264	15661	3014
265	15724	2955
266	15785	2896
267	15845	2837
268	15892	2776
269	15937	2715
270	15990	2655
271	16035	2594
272	16086	2533
273	16155	2476
274	16200	2415
275	16257	2356
276	16299	2294
277	16350	2234
278	16408	2176
279	16475	2118
280	16530	2058
281	16574	1998
282	16621	1938
283	16661	1877
284	16701	1816
285	16738	1755
286	16787	1696
287	16830	1636
288	16861	1575
289	16892	1514
290	16921	1453
291	16949	1393
292	16978	1332
293	17014	1273
294	17048	1213
295	17086	1154
296	17128	1095
297	17173	1037
298	17215	978
299	17256	920
300	17288	861
301	17316	802
302	17343	744
303	17371	685
304	17394	627
305	17420	569
306	17455	511
307	17486	454
308	17512	396
309	17536	339
310	17560	282
311	17583	225
312	17607	168
313	17631	112
314	17653	56
315	17675	0
